District,Path
NYARUGENGE,M 476.754 354.2843 476.0568 354.4405 475.7815 354.7517 475.4286 354.8687 475.0912 355.228 474.8219 355.7232 474.5959 356.271 474.637 356.4652 474.5309 357.2555 474.6009 357.4728 474.563 358.5011 474.0017 359.5169 473.6971 359.9397 473.3186 360.0918 472.7583 360.4751 472.7628 360.7724 472.4207 360.9385 472.2739 360.6987 471.98 360.8118 471.5553 360.817 470.9701 360.9727 470.7639 361.2159 470.4986 361.3813 470.5679 361.5913 470.914 361.9974 470.8265 362.995 470.4985 363.9092 470.013 364.4193 469.7588 364.8687 469.2976 365.3764 468.8638 365.6462 468.638 366.1354 468.0866 366.485 467.8281 366.6997 467.2875 367.3095 467.0712 367.9626 466.3801 368.7562 465.9077 368.9456 465.7668 369.1686 466.1086 369.4098 466.3624 370.047 466.3233 370.4205 465.9889 370.9878 466.0681 371.1374 465.8693 371.6912 465.9449 371.9505 465.6501 372.5599 465.6468 372.9457 466.4542 372.5341 467.0782 372.52 467.3716 372.5973 467.8374 372.9014 468.0106 373.1078 468.4997 373.4001 468.9903 373.6113 469.1832 374.0455 469.4899 374.2675 469.8073 374.3737 470.2503 374.3411 470.8199 374.5246 471.8486 374.961 471.6097 375.5343 471.6384 376.1982 471.8602 376.6676 472.1315 378.1147 472.2306 378.4725 472.8057 378.7747 473.0813 378.8569 473.3831 379.1843 473.5167 379.0005 473.9039 379.2051 474.2872 379.5027 474.786 379.7989 475.1614 380.1347 475.3853 381.028 475.6934 382.0311 475.5623 382.4182 475.734 382.8853 476.1235 383.3295 476.6385 383.7258 476.8579 383.7863 477.2019 384.0557 477.3233 384.2453 477.3001 384.6564 477.3495 385.174 477.3165 385.6646 477.5726 386.3062 477.6363 386.6386 478.1939 387.038 478.3298 386.9789 478.6297 387.374 478.5151 388.5376 478.5202 389.1328 478.6504 389.8398 478.8038 390.2927 478.7759 390.6242 478.8132 391.9573 478.6965 391.9955 478.923 393.3382 478.8894 394.2176 479.2895 394.5816 479.6713 395.0456 480.6494 395.2717 480.5808 395.5227 480.6309 396.1873 479.4764 396.3753 479.1614 396.4668 478.9838 396.7913 478.6102 397.0883 478.2708 396.7596 478.1229 396.3874 477.897 396.152 477.6172 396.1552 477.0991 396.5582 477.0306 396.7488 477.2255 397.2735 477.3243 397.6923 477.3139 397.9819 477.1719 398.3746 476.7469 398.8246 476.6272 398.8246 476.4088 398.5299 476.2112 397.9146 476.2301 397.4807 476.3238 397.0613 475.2905 396.8495 474.9946 396.9338 474.942 397.1907 475.0774 397.9581 474.609 398.535 474.2336 398.6245 473.6899 398.446 473.5166 398.4412 473.2954 398.6219 473.0601 399.231 472.7079 399.5811 471.9394 399.5386 471.5868 399.3155 471.3204 398.7748 471.203 398.0215 471.034 397.8295 470.6835 397.7138 468.4398 397.542 467.9769 396.9888 467.8729 396.632 467.9925 396.539 468.6416 396.3241 469.0578 395.8467 469.2996 395.4261 469.3294 395.1224 469.267 394.3623 469.4166 393.8429 469.3508 393.5765 469.1838 393.4524 468.6168 393.2921 468.1275 393.0654 467.6811 393.0566 467.3929 393.1945 467.1581 393.4172 466.7312 393.4172 465.9159 393.3068 465.4411 393.1431 464.9323 393.1479 464.0629 393.6399 463.9241 393.8945 464.1329 394.3725 464.393 394.6724 464.4658 394.9361 464.3535 395.0484 463.9659 394.9445 463.6711 394.7233 463.1114 394.4584 462.7192 394.4425 461.7147 394.9235 461.7973 395.3238 462.1979 395.7685 462.2484 395.9526 461.9068 396.3981 461.3447 396.8128 461.0222 397.2006 460.9702 397.4121 461.1054 397.6866 461.4904 397.7176 462.0438 397.4504 462.4191 397.4272 462.5472 397.7348 462.3871 398.3501 462.0521 398.6896 461.8805 398.6534 460.6425 398.0071 459.8206 398.0071 459.6073 397.9295 458.1818 397.262 457.4851 396.8282 457.2926 396.7507 457.0897 397.0867 457.0377 397.6555 457.1148 398.1253 457.4828 398.6796 457.5341 398.9012 457.2533 399.0396 457.0098 399.0138 456.6236 398.4879 456.2394 398.403 455.9987 398.7239 455.9193 399.1135 455.5916 399.5633 454.7097 400.459 454.2175 400.7426 453.9039 400.8198 453.0386 401.3599 452.8977 401.0693 453.0987 400.1655 453.0726 399.591 452.8659 399.3497 452.52 399.2074 452.2481 399.2374 452.0366 400.1083 451.8704 400.2734 451.1756 400.1833 450.7677 400.0182 450.45 399.8097 450.0357 399.2524 449.8661 399.1706 449.6649 399.3875 449.6282 399.825 449.4788 400.2765 449.0519 400.3932 448.3368 400.075 448.4649 399.8628 448.657 399.8522 448.8171 399.587 448.785 399.2687 448.1996 398.2013 447.928 397.9584 447.3234 397.8109 447.0062 397.8259 446.9008 398.0725 446.9847 398.4021 446.8766 398.9695 446.6517 399.1028 446.4598 399.0453 446.1756 398.247 445.9511 398.0497 445.4906 397.8282 445.1481 397.8109 444.8762 398.1863 444.5136 398.4416 444.3022 398.4716 444.136 398.3365 444.4599 397.7084 444.3684 397.2803 444.0873 397.1728 443.8494 397.2846 443.3694 397.3404 443.1447 397.3056 443.0473 397.1083 443.3218 396.3782 443.3047 396.0485 443.0883 395.8704 442.5607 396.1627 442.2987 396.1831 442.1665 395.986 441.9682 394.6067 441.7823 394.2241 441.1142 394.6387 440.8054 394.6444 440.3192 394.5137 440.2849 394.2806 440.7424 394.1442 441.2286 393.8543 441.6404 393.4165 441.7075 393.1496 441.5963 393.012 441.1768 393.012 441.1199 392.5809 441.383 392.3763 441.671 391.9812 441.7192 391.7126 441.6482 391.3528 441.047 391.1237 440.7594 390.6396 440.74 390.132 440.4719 389.4228 440.0956 389.0016 440.3723 388.5578 440.4992 388.5578 440.8949 388.8917 441.1338 388.914 441.4096 388.7137 441.566 388.0258 441.9076 387.5702 442.1455 387.3467 442.6867 387.1256 442.8806 386.8219 442.9499 386.0657 443.0926 385.8637 443.5164 385.4683 443.6806 385.0242 443.8956 384.8147 444.3973 385.1957 444.8959 385.2617 444.9659 385.1401 445.0436 384.487 445.5415 383.6381 445.7777 383.4675 446.1228 383.4807 446.2458 383.597 446.5475 383.4411 446.8536 383.1312 447.242 382.9434 447.5695 382.8606 447.7022 383.0453 447.251 383.6917 447.1637 383.8903 447.2642 384.0743 447.5022 384.1169 448.1708 383.661 448.7552 383.3477 448.9935 383.0421 449.2549 382.9351 450.1313 382.8204 449.9622 382.232 449.9188 381.8712 449.7064 381.6733 449.2165 381.5825 448.6783 381.2386 448.5562 380.8211 448.9233 379.5757 449.2078 379.4092 449.387 379.6665 449.6677 379.8667 449.7255 379.2212 449.8648 378.9541 450.5617 379.1124 450.7653 379.0808 451.2641 378.7276 451.5824 379.1913 451.8856 379.2311 451.8657 378.9046 451.7207 378.5588 451.9045 378.1618 452.1883 377.8927 452.4994 377.3644 452.7141 376.8592 452.5374 376.4846 452.1736 376.2961 451.5985 376.4155 450.9698 376.8367 450.6937 376.9208 450.502 376.6388 450.3327 376.2431 450.0934 375.8862 449.6508 375.6513 449.51 375.4474 449.9575 375.08 450.071 374.8672 450.017 374.6558 449.7155 374.6204 448.9789 374.848 448.3916 374.848 448.3717 374.6699 448.6305 374.1851 448.7002 373.9179 447.9834 373.7003 447.8242 373.5123 448.0929 373.0967 448.0341 372.6524 447.7302 372.525 446.9681 372.4536 446.6395 372.3843 446.3897 372.2433 446.3066 371.9542 446.3907 371.8401 447.0676 371.761 447.2199 371.508 446.9864 371.2598 445.9679 371.1953 445.3454 370.8013 445.0368 370.7914 444.7257 370.8955 444.6835 370.4957 445.1477 370.2226 445.529 369.2408 445.5117 368.9952 445.3052 368.866 445.1206 368.9589 444.684 369.4486 444.4652 369.553 444.124 369.4959 443.8965 369.2312 443.8605 368.9671 444.5101 368.7617 444.7484 368.5647 445.3339 367.7198 445.754 367.2904 445.869 367.0931 445.8068 366.8427 444.8943 366.4305 444.7629 365.964 444.9557 365.5089 445.1999 365.4639 445.7498 365.7222 446.4503 365.8872 447.3545 365.5806 447.5508 365.2603 446.9994 364.3479 446.6069 363.8934 446.422 363.1938 446.1474 362.4639 446.0381 362.4084 446.2339 362.001 446.662 362.2202 446.8567 362.2299 446.8761 361.8527 446.2047 361.079 445.9614 360.8888 445.8946 360.6372 446.1311 360.5058 446.5694 360.6969 446.9118 360.6599 448.009 360.1374 448.0892 359.8927 447.9305 359.4205 447.8524 358.1937 448.0049 357.5522 447.8737 356.7863 448.107 356.2762 448.1283 356.0533 447.8737 355.4877 447.827 355.0355 447.985 354.5611 447.9087 354.2355 447.7103 354.1543 447.4537 354.3167 447.3076 354.5879 447.1929 355.1147 446.8937 355.3254 446.1354 355.0935 446.0421 354.908 446.5137 354.5998 446.6604 354.3398 446.6021 354.0036 446.2728 353.2033 446.0004 352.8196 445.942 352.5037 446.0654 351.9281 446.0166 351.4947 445.7738 351.3136 445.3071 351.0933 444.9061 350.7874 444.9771 350.5984 445.6727 350.5404 445.7765 350.3889 445.7798 349.915 445.9954 349.3773 446.1236 348.7544 445.929 348.6029 445.7546 348.7386 445.4973 349.2011 445.1905 349.1802 445.2284 348.7991 445.1959 348.2354 444.8651 347.9485 444.6122 347.8847 444.5057 348.1415 444.6068 348.4181 444.5602 348.6964 444.3039 348.7448 443.9136 348.3231 443.6958 348.2613 443.4635 348.0235 443.4084 347.7056 443.519 347.4972 443.4158 347.0709 442.9967 346.6719 442.1559 346.2051 441.8759 345.8959 441.5648 345.2312 442.295 345.0866 442.623 344.8727 442.6848 344.5124 442.2744 344.3734 441.3626 344.4427 440.9582 344.3036 440.9632 343.8167 441.1915 343.5615 441.5026 343.4379 441.7929 343.4233 442.1441 343.2363 442.1633 342.8005 442.0204 342.4319 441.6286 341.9485 441.3723 341.7651 441.0647 341.6632 440.7162 341.1945 440.4906 340.4508 440.4126 339.9523 440.4906 339.7885 440.2529 339.0043 440.1654 338.5361 439.9208 338.1509 440.2079 337.883 440.7444 337.5766 441.5339 337.2591 442.2705 336.8979 443.6469 335.9028 442.9638 334.7039 442.8087 333.8488 442.4475 333.8725 442.4063 333.7292 442.1341 333.5592 442.2094 333.3782 442.1073 333.0983 441.675 332.4556 441.5333 332.1718 441.204 331.9745 441.1235 331.5324 440.4777 331.3142 440.2115 331.0349 439.6347 330.2559 439.3685 329.8443 439.1099 329.5783 438.8847 329.7518 438.48 329.2511 438.2464 329.4761 438.0363 329.3142 438.3471 329.1377 438.6576 328.8442 438.7392 328.6353 438.5427 327.9755 438.9539 327.7881 438.7216 327.5499 438.5056 326.9289 438.5009 326.499 438.1731 326.2064 437.9101 325.869 437.8368 325.5646 438.0768 325.4422 438.2287 325.053 438.168 324.6943 438.3781 324.4166 438.3148 324.2103 438.5831 323.7484 438.619 323.5175 438.4682 323.3267 438.8951 322.833 438.9329 322.438 438.8416 322.2881 438.8079 321.7957 439.2828 321.5816 439.2787 321.4959 439.9586 321.1143 440.3033 321.1454 440.6399 320.6786 440.6204 320.5394 441.6108 320.3146 441.7961 320.3269 442.5028 320.0104 442.5912 320.1825 442.4489 320.6863 442.9207 321.0105 443.0589 321.1792 443.2491 321.7517 443.2515 321.989 443.65 322.287 443.7869 322.2808 443.8923 322.6419 444.0621 322.8082 443.9835 323.2871 444.1195 323.4808 444.1619 323.9835 444.3549 324.3004 444.3699 324.518 444.0641 324.651 444.0859 325.4656 444.2419 325.6225 444.0815 326.232 444.0721 326.6748 444.3667 326.9031 444.2868 327.186 444.574 327.8462 444.3029 328.0351 444.2519 328.2383 444.6598 328.9188 444.8462 328.9754 444.8407 329.1979 444.6587 329.4414 444.6819 329.795 444.8421 329.8861 444.8448 330.4084 445.016 330.663 445.6103 330.9981 445.8271 331.6255 446.0148 332.0156 446.2433 332.156 446.257 332.3532 446.5827 332.3274 446.6361 332.5749 446.8241 332.7951 446.9238 333.1448 447.2634 333.4649 447.3545 333.9212 447.8903 334.458 448.1676 334.4894 448.1599 334.7654 448.272 334.9153 448.2547 335.1724 448.4221 335.2915 448.6931 335.2945 449.0888 335.5918 449.4334 335.9492 449.6651 335.9705 450.3662 336.3964 450.4885 336.31 451.0139 336.3536 451.888 336.9494 452.0553 337.133 452.3899 337.0561 452.8044 337.4532 452.8657 337.7513 453.1291 337.7163 453.7209 337.8676 453.7856 338.0628 454.3277 338.3442 454.1117 338.6697 454.1454 338.8728 454.018 339.1706 453.7062 339.2559 453.5557 339.1423 453.144 339.1358 452.6193 339.2164 452.3846 339.345 452.1661 339.8101 452.242 340.4983 452.1876 340.9227 452.3175 341.0046 452.6242 340.8262 452.8825 341.0137 453.5885 340.7192 453.7002 340.5775 454.415 340.1832 454.9544 340.0442 455.2591 340.1683 455.3964 340.3842 455.4463 340.8681 455.3036 341.2705 455.2546 341.66 455.3789 341.8509 455.7959 342.0842 456.0032 342.6997 456.1879 342.8387 456.4776 342.8784 456.7498 343.0174 457.0182 343.2613 457.2797 343.2531 457.6712 343.417 457.7261 343.8562 457.9409 344.0771 458.268 344.1094 458.4203 344.2608 458.8273 344.4171 458.7141 344.7895 458.6325 345.5041 458.4577 345.7077 458.5801 345.9881 458.3894 346.1717 457.9823 346.2825 457.8563 346.6822 458.2004 346.8026 458.5343 347.7981 458.3578 348.0256 458.4352 348.3259 458.6 348.4401 459.1319 348.4897 459.0484 348.1704 459.1647 347.9633 459.5863 347.7081 459.8355 347.6945 459.9957 348.0616 460.0082 348.4049 460.2695 348.7388 460.1773 349.2688 460.0041 349.2541 459.9768 349.6637 460.3417 349.4412 460.4853 349.4847 460.7918 349.3107 461.0649 349.3833 461.1859 349.2792 461.5121 349.3602 462.1443 349.2018 462.619 349.2779 462.9343 349.3946 463.1469 349.0209 463.164 348.8467 463.3894 348.3832 463.7872 348.2752 464.1163 347.9098 464.2485 348.0783 464.5993 347.9402 464.8553 347.9368 465.179 347.3826 465.7536 346.5117 465.9048 346.3791 466.4736 346.2534 467.8941 346.2968 468.4836 346.1357 468.9598 346.1391 469.2813 345.9912 469.7988 346.0437 470.4053 346.4417 471.0355 346.713 471.6188 346.8965 472.8509 347.6518 473.7459 348.4876 474.058 348.6726 474.4581 349.007 475.0562 349.7058 475.3116 349.9436 475.736 350.4775 475.8459 351.5138 475.7148 351.5724 475.919 352.3968 476.0692 352.2071 476.3414 352.6004 476.5288 353.0836 476.754 354.2843 Z
GASABO,M 543.6841 311.8334 543.8884 312.948 543.9814 313.1555 544.2287 314.3559 544.1834 314.866 544.0224 315.5199 543.8031 315.9471 543.5866 316.1243 543.6924 316.4039 544.0716 316.2568 544.542 316.2313 545.3307 316.5044 545.868 316.9404 547.5961 317.5686 547.8239 317.6015 548.309 317.8171 548.6655 317.8865 549.2903 318.3323 549.7277 318.3031 549.9405 318.6237 550.0787 318.99 550.2563 319.1862 550.5004 319.2899 550.2325 319.6263 549.5056 320.1822 549.2326 320.456 548.9099 320.6261 548.612 321.1638 548.6048 321.4406 548.7557 321.8741 548.743 322.1855 548.5875 322.6811 548.121 323.0412 547.7703 323.4108 547.7529 323.7512 547.8503 324.0467 547.8499 324.3921 547.6394 325.2317 547.5326 325.8853 547.5846 326.5932 547.6986 327.4788 547.7531 328.5148 547.8721 329.2819 547.8298 330.1008 547.722 330.7732 548.1076 330.9018 548.2593 331.0572 548.9228 331.1474 549.7538 331.3558 550.4089 331.5537 551.0211 331.5923 551.2645 331.6983 551.506 331.9267 551.9912 332.225 552.5412 332.46 552.7554 332.6428 553.1506 332.6972 553.4396 332.9509 553.4168 333.082 553.0653 333.4867 552.7613 334.2756 552.8351 334.8121 552.7641 335.4914 552.639 336.0015 552.7375 336.6463 552.983 337.2957 553.5647 338.6425 553.633 339.2912 553.7434 339.9044 553.8684 340.2323 554.0527 340.9971 554.2707 341.2231 554.2693 341.7096 554.4768 342.1761 554.5096 342.5256 554.8892 343.0289 554.9783 343.2852 555.1843 346.2485 555.0974 346.7704 553.4747 348.439 552.9871 349.5404 552.572 350.5445 552.1428 350.8809 551.8991 351.1688 551.4326 351.5042 550.8399 352.8515 550.5122 353.7261 549.3505 353.5159 546.6396 352.9879 546.1419 352.95 545.5483 353.2194 544.7866 353.4598 544.3935 353.4803 543.5056 353.76 542.415 354.1689 541.8475 354.253 541.474 354.5546 540.3969 355.2084 539.5867 355.844 539.1904 356.102 538.2757 356.891 538.087 357.2551 537.868 358.2254 537.6261 358.655 537.4098 359.6018 537.5672 360.4467 537.7174 360.8837 537.7649 361.3389 537.7538 362.4423 537.8234 362.6571 538.197 363.0177 538.7655 363.9402 538.9963 364.1875 539.0322 364.573 538.2177 364.4069 537.9983 364.398 537.6485 364.7079 536.4566 364.8236 536.1827 364.922 535.3871 364.9798 534.5624 365.0753 533.1858 365.0908 532.4828 365.1868 531.4972 365.513 530.6738 365.9494 530.5255 365.9736 530.0628 366.3363 529.57 366.9348 529.1415 367.0476 528.7914 367.0666 527.5985 366.9977 527.3715 366.9211 526.5326 366.9746 526.2209 366.9057 525.322 367.0144 524.3405 367.0091 523.9228 367.0713 522.4401 366.9985 519.6741 367.0829 518.7751 366.9669 518.5819 366.8891 518.531 365.7968 518.5737 365.5137 518.5718 364.5045 518.5292 363.7178 518.4743 363.3742 518.1009 362.7074 517.6206 362.1225 517.4456 361.8097 517.4716 361.3506 517.2087 361.1688 516.601 360.6267 516.0828 360.4919 515.6984 360.2737 514.9797 360.1136 514.506 359.8098 514.2614 359.8173 513.2489 359.5134 512.6099 359.2291 511.8804 359.0488 510.6948 358.5147 509.9649 358.0753 509.4281 357.7065 508.6969 357.2641 507.2346 356.4266 506.1299 355.4391 505.3936 354.7529 505.2208 354.5525 504.679 354.5487 502.8639 354.0098 501.8997 353.8024 501.7849 353.6519 501.2941 353.4755 500.9418 353.5049 500.5267 353.6683 500.3167 353.8197 499.2157 354.3982 499.0406 354.4559 498.1389 355.0022 497.4858 355.55 497.2044 355.7136 496.4748 356.3626 496.0729 356.5572 495.9042 356.7412 495.6186 356.7488 495.2683 356.9808 495.0966 357.1769 494.3076 356.7983 493.8197 356.6867 493.4387 356.5363 492.7656 356.1317 492.443 356.0711 492.343 356.2173 491.5289 356.4895 491.0931 356.601 489.9737 357.047 489.6658 357.2129 489.037 357.6486 488.6664 357.7938 488.1733 357.8275 487.7401 358.1231 487.2078 358.3201 486.8402 359.0848 486.68 359.2953 486.3337 359.36 485.5535 358.792 485.2196 358.4212 485.1987 357.9258 484.975 358.0804 484.9065 358.2629 484.9603 358.5702 485.0882 358.7491 484.7736 358.9953 484.0373 358.4677 483.7664 358.3567 483.1758 358.3143 483.1024 358.3696 480.934 357.9497 480.409 357.8166 480.1696 357.4535 479.7702 358.0056 479.3138 357.8055 479.5254 357.5029 479.1273 357.4754 478.0567 356.7438 477.2461 355.7033 476.8796 355.0429 476.754 354.2843 476.5288 353.0836 476.3414 352.6004 476.0692 352.2071 475.919 352.3968 475.7148 351.5724 475.8459 351.5138 475.736 350.4775 475.3116 349.9436 475.0562 349.7058 474.4581 349.007 474.058 348.6726 473.7459 348.4876 472.8509 347.6518 471.6188 346.8965 471.0355 346.713 470.4053 346.4417 469.7988 346.0437 469.2813 345.9912 468.9598 346.1391 468.4836 346.1357 467.8941 346.2968 466.4736 346.2534 465.9048 346.3791 465.7536 346.5117 465.179 347.3826 464.8553 347.9368 464.5993 347.9402 464.2485 348.0783 464.1163 347.9098 463.7872 348.2752 463.3894 348.3832 463.164 348.8467 463.1469 349.0209 462.9343 349.3946 462.619 349.2779 462.1443 349.2018 461.5121 349.3602 461.1859 349.2792 461.0649 349.3833 460.7918 349.3107 460.4853 349.4847 460.3417 349.4412 459.9768 349.6637 460.0041 349.2541 460.1773 349.2688 460.2695 348.7388 460.0082 348.4049 459.9957 348.0616 459.8355 347.6945 459.5863 347.7081 459.1647 347.9633 459.0484 348.1704 459.1319 348.4897 458.6 348.4401 458.4352 348.3259 458.3578 348.0256 458.5343 347.7981 458.2004 346.8026 457.8563 346.6822 457.9823 346.2825 458.3894 346.1717 458.5801 345.9881 458.4577 345.7077 458.6325 345.5041 458.7141 344.7895 458.8273 344.4171 458.4203 344.2608 458.268 344.1094 457.9409 344.0771 457.7261 343.8562 457.6712 343.417 457.2797 343.2531 457.0182 343.2613 456.7498 343.0174 456.4776 342.8784 456.1879 342.8387 456.0032 342.6997 455.7959 342.0842 455.3789 341.8509 455.2546 341.66 455.3036 341.2705 455.4463 340.8681 455.3964 340.3842 455.2591 340.1683 454.9544 340.0442 454.415 340.1832 453.7002 340.5775 453.5885 340.7192 452.8825 341.0137 452.6242 340.8262 452.3175 341.0046 452.1876 340.9227 452.242 340.4983 452.1661 339.8101 452.3846 339.345 452.6193 339.2164 453.144 339.1358 453.5557 339.1423 453.7062 339.2559 454.018 339.1706 454.1454 338.8728 454.1117 338.6697 454.3277 338.3442 453.7856 338.0628 453.7209 337.8676 453.1291 337.7163 452.8657 337.7513 452.8044 337.4532 452.3899 337.0561 452.0553 337.133 451.888 336.9494 451.0139 336.3536 450.4885 336.31 450.3662 336.3964 449.6651 335.9705 449.4334 335.9492 449.0888 335.5918 448.6931 335.2945 448.4221 335.2915 448.2547 335.1724 448.272 334.9153 448.1599 334.7654 448.1676 334.4894 447.8903 334.458 447.3545 333.9212 447.2634 333.4649 446.9238 333.1448 446.8241 332.7951 446.6361 332.5749 446.5827 332.3274 446.257 332.3532 446.2433 332.156 446.0148 332.0156 445.8271 331.6255 445.6103 330.9981 445.016 330.663 444.8448 330.4084 444.8421 329.8861 444.6819 329.795 444.6587 329.4414 444.8407 329.1979 444.8462 328.9754 444.6598 328.9188 444.2519 328.2383 444.3029 328.0351 444.574 327.8462 444.2868 327.186 444.3667 326.9031 444.0721 326.6748 444.0815 326.232 444.2419 325.6225 444.0859 325.4656 444.0641 324.651 444.3699 324.518 444.3549 324.3004 444.1619 323.9835 444.1195 323.4808 443.9835 323.2871 444.0621 322.8082 443.8923 322.6419 443.7869 322.2808 443.65 322.287 443.2515 321.989 443.2491 321.7517 443.0589 321.1792 442.9207 321.0105 442.4489 320.6863 442.5912 320.1825 442.5028 320.0104 442.3872 319.5865 442.6326 319.3231 442.7935 318.9515 442.7535 318.7579 442.9084 318.5346 443.1586 317.3812 443.2684 317.3188 443.2904 316.9016 443.5382 316.8636 443.4727 316.6385 443.6879 316.0889 443.8398 315.549 443.6605 315.2485 443.5978 314.4315 443.66 314.2461 443.4952 313.9334 443.3156 313.3953 443.3703 313.0846 443.173 312.5113 443.4901 312.3689 444.3414 312.2407 444.7542 311.9587 444.9749 311.6681 445.2673 310.9873 445.6829 310.5132 446.1845 310.2124 447.3397 309.7908 447.5461 309.7595 448.7739 309.2856 449.3472 309.0313 449.7813 309.2372 450.6174 308.8783 450.9727 308.9857 451.8152 308.8586 451.9703 308.7653 452.1893 308.4234 452.4851 308.2861 452.605 308.1073 452.8455 308.1551 452.8455 308.6343 452.9941 308.7289 453.173 309.0498 453.3629 309.1028 453.5895 309.5471 453.8279 309.7871 453.9621 310.4448 454.0723 310.5425 454.2333 311.0876 454.4628 311.4164 454.4419 311.6682 454.5876 311.8031 454.502 312.0111 454.737 312.397 454.6213 312.6343 454.7309 313.1478 454.7336 313.4271 454.9308 313.6352 454.9963 314.1477 455.1093 314.476 455.8995 314.8054 455.9938 314.9485 456.2966 315.0719 456.4061 315.4138 456.8336 315.7376 457.0369 316.1884 457.2936 316.4759 457.5503 317.5977 457.6819 317.7618 457.5777 318.1779 457.6598 318.8295 457.8935 319.0771 457.9232 319.3038 458.144 319.3956 458.5936 318.8401 459.1231 318.3766 459.4425 318.1928 459.7199 317.9005 460.2031 317.5121 460.7255 317.3004 460.943 317.3098 461.3755 317.136 461.8212 317.2218 462.0485 317.0485 462.3092 316.604 462.4641 316.1996 463.1642 315.4629 463.7821 315.1465 464.3466 315.0851 464.5763 314.8928 464.8458 314.5069 465.3782 314.1222 465.6932 313.6718 465.8479 312.7513 465.9515 312.4168 466.3435 311.8839 466.8103 311.4089 467.2853 311.244 467.8437 311.3673 468.5952 311.48 468.9756 311.2503 468.6133 310.6221 468.604 310.0988 468.4851 309.68 468.6343 309.3222 468.7884 308.6286 469.1558 308.0879 469.5021 307.456 469.7665 307.2411 469.9425 306.5631 470.5104 306.0445 471.2206 305.5969 471.4955 305.245 472.3393 304.9775 472.7648 304.7332 473.3195 304.6564 473.8886 304.4807 474.1691 304.4635 474.6983 304.5706 475.197 304.4239 475.4635 304.4114 475.794 304.2097 476.4668 304.1266 477.0826 304.1409 477.7106 304.0975 478.086 304.2895 478.2544 304.1789 479.4626 303.7822 479.5748 303.6473 480.2559 303.4788 480.4699 303.1884 480.7595 303.1884 480.8665 303.0328 481.4641 302.7216 481.6468 302.5479 482.4949 302.2497 482.8576 302.3249 483.1916 302.0993 483.7396 302.0293 483.8179 301.7492 484.0319 301.4406 484.4807 301.3888 484.7391 301.1399 484.9426 300.5616 485.1253 300.3541 485.3263 299.8251 485.3312 299.1833 485.4857 299.0048 485.9868 298.986 486.6171 299.3244 486.8504 299.3839 488.1835 300.0041 488.5144 300.1169 488.9399 300.3769 489.8633 301.3856 490.1154 301.5829 491.2374 302.0935 491.607 302.0158 491.9072 301.8612 492.7396 301.7938 493.1076 301.519 493.4129 301.1819 493.7313 300.295 494.0419 299.7763 494.4209 299.5666 494.6666 299.2854 494.74 298.9028 494.967 298.728 495.7416 298.419 496.7025 297.6453 496.7864 297.517 496.9254 296.6735 496.9155 296.1135 496.9801 295.7485 497.6503 294.3894 497.8042 293.7087 497.7646 292.5123 497.6896 291.4584 497.6688 290.1451 498.5346 288.4777 498.6872 287.7399 499.1638 287.0948 500.7346 286.103 500.9598 286.0695 502.4259 286.4625 502.4951 286.5172 503.1651 288.1752 503.5923 289.5759 503.7925 290.3917 504.0977 290.8962 504.553 291.176 505.1338 291.0625 506.1142 290.8041 506.8436 290.8482 507.2489 291.0365 507.7509 290.8705 508.0541 290.9363 508.3443 290.8542 509.01 290.3165 509.5226 290.1013 510.0248 290.1115 510.8449 290.4395 511.5361 290.8886 511.9257 291.221 512.7418 292.2156 513.9877 292.7271 514.2352 292.9169 514.5899 293.4449 514.8045 294.2122 514.986 294.4927 515.4851 294.9341 516.4917 295.4044 516.8921 295.5623 517.9124 296.1255 518.5441 296.7926 518.6388 296.9907 519.1245 297.6069 520.2226 298.7982 520.814 299.0598 521.0181 299.2148 521.4099 299.7127 521.6629 300.5779 521.8016 300.7901 522.2995 301.2962 523.1729 301.7696 523.5157 302.0552 524.9114 303.6305 525.6541 304.5284 526.0459 305.3364 526.0949 305.5568 526.3561 305.9894 527.4049 306.7688 527.9844 306.8913 528.9965 307.4708 529.7311 307.634 530.1882 307.7973 530.4983 308.0503 531.0533 309.1522 531.2753 309.328 531.776 309.9206 532.1715 310.1643 532.9224 310.4173 534.6773 310.7356 535.2078 310.907 536.2852 311.1356 537.3218 311.4294 538.1481 311.5996 538.8926 311.8478 539.2284 311.8186 539.6059 311.9437 539.9145 311.9354 540.6298 312.0375 541.0093 312.0521 542.819 312.0375 543.6841 311.8334 Z
